2026-07-19 19:00:52.733 IST [12216] LOG:  starting PostgreSQL 18.4 on x86_64-windows, compiled by msvc-19.44.35227, 64-bit
2026-07-19 19:00:52.740 IST [12216] LOG:  listening on IPv6 address "::1", port 5433
2026-07-19 19:00:52.740 IST [12216] LOG:  listening on IPv4 address "127.0.0.1", port 5433
2026-07-19 19:00:52.883 IST [25348] LOG:  database system was shut down at 2026-07-19 19:00:39 IST
2026-07-19 19:00:52.906 IST [12216] LOG:  database system is ready to accept connections
2026-07-19 19:01:46.369 IST [19336] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-07-19 19:01:46.523 IST [28520] ERROR:  relation "_prisma_migrations" does not exist at character 126
2026-07-19 19:01:46.523 IST [28520] STATEMENT:  SELECT "id", "checksum", "finished_at", "migration_name", "logs", "rolled_back_at", "started_at", "applied_steps_count" FROM "_prisma_migrations" ORDER BY "started_at" ASC
2026-07-19 19:01:46.963 IST [19292] LOG:  checkpoint starting: immediate force wait
2026-07-19 19:01:47.320 IST [19292] LOG:  checkpoint complete: wrote 985 buffers (6.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.021 s, sync=0.321 s, total=0.358 s; sync files=303, longest=0.015 s, average=0.002 s; distance=9330 kB, estimate=9330 kB; lsn=0/210DF08, redo lsn=0/210DEB0
2026-07-19 19:01:47.819 IST [19292] LOG:  checkpoint starting: immediate force wait
2026-07-19 19:01:47.856 IST [19292] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.004 s, total=0.037 s; sync files=4, longest=0.002 s, average=0.001 s; distance=4666 kB, estimate=8864 kB; lsn=0/259CA30, redo lsn=0/259C9D8
2026-07-19 19:01:48.409 IST [19292] LOG:  checkpoint starting: immediate force wait
